instance,accuracy
1,-100.0
2,-50.0
3,0.0
4,0.0
5,20.0
6,16.666666666666668
7,14.285714285714286
8,25.0
9,33.333333333333336
10,40.0
11,45.45454545454545
12,41.666666666666664
13,38.46153846153846
14,42.857142857142854
15,40.0
16,43.75
17,41.1764705882353
18,44.44444444444444
19,47.36842105263158
20,50.0
21,52.38095238095238
22,54.54545454545455
23,52.17391304347826
24,54.166666666666664
25,56.0
26,57.69230769230769
27,59.25925925925926
28,57.142857142857146
29,55.172413793103445
30,56.666666666666664
31,58.064516129032256
32,59.375
33,60.60606060606061
34,61.76470588235294
35,62.857142857142854
36,63.888888888888886
37,64.86486486486487
38,63.1578947368421
39,64.1025641025641
40,62.5
41,63.41463414634146
42,64.28571428571429
43,65.11627906976744
44,63.63636363636363
45,64.44444444444444
46,63.04347826086956
47,61.702127659574465
48,62.5
49,63.265306122448976
50,64.0
51,64.70588235294117
52,63.46153846153846
53,64.15094339622641
54,62.96296296296296
55,61.81818181818182
56,60.714285714285715
57,61.40350877192982
58,62.06896551724138
59,62.71186440677966
60,63.333333333333336
61,63.9344262295082
62,64.51612903225806
63,65.07936507936508
64,65.625
65,66.15384615384616
66,66.66666666666667
67,67.16417910447761
68,67.6470588235294
69,68.1159420289855
70,68.57142857142857
71,69.01408450704226
72,69.44444444444444
73,69.86301369863014
74,68.91891891891892
75,69.33333333333333
76,69.73684210526316
77,70.12987012987013
78,70.51282051282051
79,70.88607594936708
80,70.0
81,70.37037037037037
82,70.73170731707317
83,69.87951807228916
84,70.23809523809524
85,70.58823529411765
86,70.93023255813954
87,70.11494252873563
88,70.45454545454545
89,70.78651685393258
90,71.11111111111111
91,71.42857142857143
92,71.73913043478261
93,70.96774193548387
94,71.27659574468085
95,70.52631578947368
96,70.83333333333333
97,71.1340206185567
98,71.42857142857143
99,71.71717171717172
100,72.0
101,72.27722772277228
102,71.56862745098039
103,71.84466019417475
104,72.11538461538461
105,72.38095238095238
106,72.64150943396227
107,72.89719626168224
108,73.14814814814815
109,72.4770642201835
110,72.72727272727273
111,72.07207207207207
112,72.32142857142857
113,71.68141592920354
114,71.05263157894737
115,70.43478260869566
116,70.6896551724138
117,70.94017094017094
118,71.1864406779661
119,71.42857142857143
120,71.66666666666667
121,71.90082644628099
122,72.1311475409836
123,72.35772357723577
124,72.58064516129032
125,72.8
126,72.22222222222223
127,71.65354330708661
128,71.09375
129,71.31782945736434
130,71.53846153846153
131,71.7557251908397
132,71.21212121212122
133,71.42857142857143
134,71.64179104477611
135,71.85185185185185
136,71.32352941176471
137,71.53284671532846
138,71.73913043478261
139,71.94244604316546
140,72.14285714285714
141,72.34042553191489
142,72.53521126760563
